legacy_action,domain,proposed_v1_command,ownership,disposition
init-session,coordination,coordination.session.open,peerhub-v1,required
end-session,coordination,coordination.session.close,peerhub-v1,required
send,coordination,coordination.message.send,peerhub-v1,required
broadcast,coordination,coordination.message.broadcast,peerhub-v1,required
mark-read,coordination,coordination.message.mark_read,peerhub-v1,required
append-log,audit,governance.audit.append,peerhub-v1,required
archive-file,artifact,governance.artifact.archive,peerhub-v1,required
update-status,coordination,coordination.mission.update,peerhub-v1,required
check,coordination,coordination.message.check,peerhub-v1,required
status,diagnostic,peerhub.status.read,peerhub-v1,required
check-gate,health,health.admission.check,peerhub-v1,required
ask,dispatch,dispatch.submit,peerhub-v1,required
ask-all,dispatch,dispatch.submit_many,peerhub-v1,required
ask-coordinator,dispatch,dispatch.submit_coordinator,peerhub-v1,required
consensus-propose,consensus,consensus.round.propose,peerhub-v1,required
consensus-vote,consensus,consensus.vote.cast,peerhub-v1,required
consensus-check,consensus,consensus.round.read,peerhub-v1,required
consensus-sweep,consensus,consensus.round.sweep,peerhub-v1,required
register-node,configuration,configuration.instance.register,peerhub-v1,required
list-nodes,configuration,configuration.instance.list,peerhub-v1,required
health-update,health,health.evidence.record,peerhub-v1,required
health-check,health,health.projection.read,peerhub-v1,required
peer-status,health,health.instance.status,peerhub-v1,required
context-fill,coordination,coordination.context.fill,peerhub-v1,required
checkpoint,coordination,coordination.checkpoint.create,peerhub-v1,required
peer-quarantine,health,health.admission.quarantine,peerhub-v1,required
peer-recover,health,health.recovery.authorize_probe,peerhub-v1,required
new-topic,coordination,coordination.topic.create,peerhub-v1,required
clear-room,coordination,coordination.room.clear,peerhub-v1,required
preflight,diagnostic,peerhub.preflight,host-adapter,compatibility-wrapper
context-hash,diagnostic,peerhub.context.hash,peerhub-v1,required
report-error,telemetry,telemetry.error.record,peerhub-v1,required
feedback-add,governance,governance.feedback.create,peerhub-v1,required
feedback-list,governance,governance.feedback.list,peerhub-v1,required
feedback-resolve,governance,governance.feedback.resolve,peerhub-v1,required
artifact-claim,artifact,governance.artifact.claim,peerhub-v1,required
artifact-status,artifact,governance.artifact.status,peerhub-v1,required
artifact-finalize,artifact,governance.artifact.finalize,peerhub-v1,required
leader-yield,routing,routing.leadership.yield,peerhub-v1,required
leader-claim,routing,routing.leadership.claim,peerhub-v1,required
elect-leader,routing,routing.leadership.elect,peerhub-v1,required
discover,routing,routing.candidate.discover,peerhub-v1,required
assign-role,coordination,coordination.role.assign,peerhub-v1,required
release-role,coordination,coordination.role.release,peerhub-v1,required
role-status,coordination,coordination.role.status,peerhub-v1,required
health-precheck,health,health.admission.precheck,peerhub-v1,required
health-sweep,health,health.projection.sweep,peerhub-v1,required
freshness-sweep,telemetry,telemetry.freshness.sweep,peerhub-v1,required
terminal-handoff,coordination,coordination.terminal.handoff,peerhub-v1,required
terminal-duty-sweep,coordination,coordination.terminal.duty_sweep,peerhub-v1,required
terminal-heartbeat,coordination,coordination.terminal.heartbeat,peerhub-v1,required
terminal-close,coordination,coordination.terminal.close,peerhub-v1,required
append-handoff,coordination,coordination.handoff.append,peerhub-v1,required
task-checkpoint,coordination,coordination.task.checkpoint,peerhub-v1,required
task-status,coordination,coordination.task.status,peerhub-v1,required
task-failover,coordination,coordination.task.failover,peerhub-v1,required
approval-request,governance,governance.approval.request,peerhub-v1,required
file-lock,governance,governance.lock.acquire,peerhub-v1,required
file-unlock,governance,governance.lock.release,peerhub-v1,required
lock-status,governance,governance.lock.status,peerhub-v1,required
profile-validate,configuration,configuration.profile.validate,peerhub-v1,required
lease-status,dispatch,dispatch.lease.status,peerhub-v1,required
lease-sweep,dispatch,dispatch.lease.sweep,peerhub-v1,required
model-status,configuration,configuration.model.status,peerhub-v1,required
transient-scan,telemetry,telemetry.transient.scan,peerhub-v1,required
directive-add,host-policy,host.directive.add,host-adapter,compatibility-wrapper
directive-list,host-policy,host.directive.list,host-adapter,compatibility-wrapper
directive-clear,host-policy,host.directive.clear,host-adapter,compatibility-wrapper
lessons-list,governance,governance.lesson.list,peerhub-v1,required
lessons-propose,governance,governance.lesson.propose,peerhub-v1,required
lessons-activate,governance,governance.lesson.activate,peerhub-v1,required
lessons-retire,governance,governance.lesson.retire,peerhub-v1,required
lesson-broadcast,coordination,coordination.lesson.broadcast,peerhub-v1,required
lesson-sweep,governance,governance.lesson.sweep,peerhub-v1,required
lesson-inject,host-policy,host.lesson.inject,host-adapter,compatibility-wrapper
thread-new,coordination,coordination.thread.create,peerhub-v1,required
thread-append,coordination,coordination.thread.append,peerhub-v1,required
thread-react,coordination,coordination.thread.react,peerhub-v1,required
thread-promote,coordination,coordination.thread.promote,peerhub-v1,required
alert-raise,coordination,coordination.alert.raise,peerhub-v1,required
proposal-add,governance,governance.proposal.create,peerhub-v1,required
proposal-vote,governance,governance.proposal.vote,peerhub-v1,required
proposal-list,governance,governance.proposal.list,peerhub-v1,required
broker-submit,governance,governance.mutation.submit,peerhub-v1,required
broker-drain,governance,governance.effect.drain,peerhub-v1,required
broker-status,governance,governance.mutation.status,peerhub-v1,required
update-signatures,diagnostic,peerhub.signature.update,host-adapter,compatibility-wrapper
arbiter-review,consensus,consensus.arbiter.review,peerhub-v1,required
credit-status,external-action,host.credit.status,host-adapter,compatibility-wrapper
credit-consume,external-action,host.credit.consume,host-adapter,compatibility-wrapper
