legacy_action,legacy_handler,domain,effect_class,mutability,relevant_legacy_arguments_defaults,state_files_tables_read_written,subprocess_provider_effects,exit_error_output_contract,target_peerhub_command,target_peerhub_module_symbol,disposition,implementation_status,fixture_ids,current_capture_revision,shadow_comparison_status,authority_phase,rollback_owner_path,last_verified_legacy_and_peerhub_revisions,unresolved_drift_finding_ids
init-session,action_init_session,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_lifecycle_policy"", ""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_text"", ""config:lifecycle_policy.json"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:_log_p2p"", ""call:_write_json"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ"", ""process:exit"", ""process:run""]",unspecified,coordination.session.open,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
end-session,action_end_session,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:_log_p2p"", ""call:_write_json"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ""]",unspecified,coordination.session.close,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
send,action_send,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_lifecycle_policy"", ""call:_load_orchestration"", ""call:_read_json"", ""call:read_text"", ""config:lifecycle_policy.json"", ""config:orchestration.json"", ""state:consensus_dir""], ""writes"": [""call:_log_p2p"", ""call:_write_json"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ"", ""process:exit""]",unspecified,coordination.message.send,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
broadcast,action_broadcast,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_lifecycle_policy"", ""call:_load_orchestration"", ""call:_read_json"", ""call:read_text"", ""config:lifecycle_policy.json"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:state.json""], ""writes"": [""call:_log_p2p"", ""call:_write_json"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ"", ""process:exit""]",unspecified,coordination.message.broadcast,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
mark-read,action_mark_read,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text""], ""writes"": [""call:_write_json"", ""call:unlink"", ""call:write_text""]}",[],unspecified,coordination.message.mark_read,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
append-log,action_append_log,audit,unspecified,readonly,see_global_surface,"{""reads"": [], ""writes"": []}",[],unspecified,governance.audit.append,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
archive-file,action_archive_file,artifact,unspecified,mutable,see_global_surface,"{""reads"": [], ""writes"": [""call:mkdir""]}","[""process:exit""]",unspecified,governance.artifact.archive,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
update-status,action_update_status,coordination,unspecified,mutable,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text"", ""state:consensus_dir"", ""state:state.json""], ""writes"": [""call:_log_p2p"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ""]",unspecified,coordination.mission.update,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
check,action_check,coordination,unspecified,readonly,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text""], ""writes"": []}",[],unspecified,coordination.message.check,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
status,action_status,diagnostic,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_lifecycle_policy"", ""call:_load_orchestration"", ""call:_read_json"", ""call:read_text"", ""config:lifecycle_policy.json"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:_log_p2p"", ""call:_write_json"", ""call:mkdir"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ"", ""process:run""]",unspecified,peerhub.status.read,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
check-gate,action_check_gate,health,unspecified,mutable,see_global_surface,"{""reads"": [""call:_read_json"", ""call:read_text""], ""writes"": []}","[""process:exit""]",unspecified,health.admission.check,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
ask,action_ask,dispatch,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_lifecycle_policy"", ""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_bytes"", ""call:read_text"", ""config:lifecycle_policy.json"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:_append_jsonl"", ""call:_log_p2p"", ""call:_write_json"", ""call:mkdir"", ""call:rmtree"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ"", ""process:Popen"", ""process:_ask_with_pty"", ""process:exit"", ""process:run""]",unspecified,dispatch.submit,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
ask-all,action_ask_all,dispatch,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:read_text"", ""config:orchestration.json""], ""writes"": [""call:_append_jsonl"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ"", ""process:exit"", ""process:run""]",unspecified,dispatch.submit_many,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
ask-coordinator,action_ask_coordinator,dispatch,unspecified,mutable,see_global_surface,"{""reads"": [""call:_load_lifecycle_policy"", ""call:_load_orchestration"", ""call:_load_protocol_cfg"", ""call:_read_json"", ""call:read_bytes"", ""call:read_text"", ""config:orchestration.json"", ""state:consensus_dir"", ""state:sessions_dir"", ""state:state.json""], ""writes"": [""call:_append_jsonl"", ""call:_log_p2p"", ""call:_write_json"", ""call:mkdir"", ""call:rmtree"", ""call:unlink"", ""call:write_text""]}","[""env:os.environ"", ""process:Popen"", ""process:_ask_with_pty"", ""process:exit""]",unspecified,dispatch.submit_coordinator,unspecified,required,INVENTORIED,[],,NONE,ENGRAM_AUTHORITY,legacy_hub,,[]
